.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,trait,site
value,75% SG,Crushed glass,20,20,1.9841014650329596,0.0472445298531028,0.47244529853102796,ns,total_height,CP
value,75% SG,Soil,20,20,1.6652280152955192,0.09586727371472421,0.9586727371472421,ns,total_height,CP
value,Crushed glass,Soil,20,20,-0.31887344973744036,0.7498224781994091,1,ns,total_height,CP
value,100% Sargassum (SG),25% SG,20,20,5.630519655059442,1.7966746385613307e-8,1.7966746385613307e-7,****,total_height,PR
value,100% Sargassum (SG),75% SG,20,20,3.992599852208172,6.53527988287613e-5,6.53527988287613e-4,***,total_height,PR
value,100% Sargassum (SG),Crushed glass,20,20,4.469531575168192,7.839108665401312e-6,7.839108665401312e-5,****,total_height,PR
value,100% Sargassum (SG),Soil,20,20,3.839981700860965,1.2304348142832988e-4,0.0012304348142832989,**,total_height,PR
value,25% SG,75% SG,20,20,-1.6379198028512703,0.10143842439791305,1,ns,total_height,PR
value,25% SG,Crushed glass,20,20,-1.1609880798912497,0.24564674703629297,1,ns,total_height,PR
value,25% SG,Soil,20,20,-1.7905379541984767,0.0733674713922041,0.7336747139220411,ns,total_height,PR
value,75% SG,Crushed glass,20,20,0.4769317229600205,0.6334107415900047,1,ns,total_height,PR
value,75% SG,Soil,20,20,-0.1526181513472064,0.8786994099888635,1,ns,total_height,PR
value,Crushed glass,Soil,20,20,-0.6295498743072269,0.5289891278984793,1,ns,total_height,PR
value,100% Sargassum (SG),25% SG,20,20,2.8122391386873544,0.0049197911337712655,0.04919791133771265,*,mass,OC
value,100% Sargassum (SG),75% SG,20,20,0.177127465130502,0.8594082689536036,1,ns,mass,OC
value,100% Sargassum (SG),Crushed glass,20,20,2.3871332223741497,0.01698033676859727,0.1698033676859727,ns,mass,OC
value,100% Sargassum (SG),Soil,20,20,2.199105605543309,0.027870414048595797,0.278704140485958,ns,mass,OC
value,25% SG,75% SG,20,20,-2.6351116735568527,0.00841096058131587,0.08410960581315871,ns,mass,OC
value,25% SG,Crushed glass,20,20,-0.42510591631320466,0.6707594652082103,1,ns,mass,OC
value,25% SG,Soil,20,20,-0.6131335331440454,0.5397880491845427,1,ns,mass,OC
value,75% SG,Crushed glass,20,20,2.210005757243648,0.02710476273186114,0.2710476273186114,ns,mass,OC
value,75% SG,Soil,20,20,2.021978140412807,0.043178610196581105,0.431786101965811,ns,mass,OC
value,Crushed glass,Soil,20,20,-0.18802761683084074,0.8508550021762319,1,ns,mass,OC
value,100% Sargassum (SG),25% SG,20,20,2.784988759436508,0.005352957869831251,0.053529578698312506,ns,mass,CP
value,100% Sargassum (SG),75% SG,20,20,-0.8992625152779332,0.36851284854737276,1,ns,mass,CP
value,100% Sargassum (SG),Crushed glass,20,20,1.288942938565038,0.19741792485907428,1,ns,mass,CP
value,100% Sargassum (SG),Soil,20,20,1.3897693417931696,0.1645989306245165,1,ns,mass,CP
value,25% SG,75% SG,20,20,-3.684251274714441,2.293758813509268e-4,0.0022937588135092677,**,mass,CP
value,25% SG,Crushed glass,20,20,-1.4960458208714702,0.13464171503320027,1,ns,mass,CP
value,25% SG,Soil,20,20,-1.3952194176433386,0.16294968326712173,1,ns,mass,CP
value,75% SG,Crushed glass,20,20,2.188205453842971,0.028654640024502385,0.28654640024502387,ns,mass,CP
value,75% SG,Soil,20,20,2.2890318570711026,0.022077501487703884,0.22077501487703882,ns,mass,CP
